site_id,umap_1,umap_2
AN-LISS1,8.792239,-0.5327946
SW-RSN0807,1.5877742,2.4743128
NW-88000728,9.118991,2.3764756
SW-70720019,0.96094996,3.4909134
NW-88024607,7.780753,5.1643877
NE-49000143,-0.005869659,2.2211928
NE-49405120,1.2817745,0.6032445
AN-43M02,8.258732,2.6179285
NE-49400074,2.0156264,1.9725975
SW-81201430,-0.03443768,1.7864988
SW-SSN0100,1.883034,4.653697
MD-51147750,4.172339,0.9131144
NW-88025769,5.5338964,3.1271505
SO-F0017505,4.6496825,4.6279016
SW-Z9370107,7.7363825,0.7073941
AN-06M08,9.794701,2.3342485
NW-88006376,4.845187,0.25990388
NW-88004896,6.3804045,2.421753
NW-88022191,0.8649761,1.7509679
SW-60230005,7.9144754,4.5812354
AN-19M19,10.359879,3.1024609
NW-88005891,7.577664,4.6671247
NW-88010465,4.2128496,1.3097495
NE-49800232,8.076029,-1.5673711
MD-41514100,8.35311,4.304653
TH-PTHR0005,8.263739,2.298434
NW-88005816,4.310708,0.3854407
TH-PTAR0087,11.267691,3.5787256
TH-RSN0594,9.391558,2.1757305
NE-RSN2036,7.1325703,3.6169202
SW-91251640,1.0540017,3.9295528
AN-30M36,10.486893,0.621288
NE-49302040,6.4374657,2.4110403
TH-PLER0060,10.456449,1.5949814
SW-RSN0061,10.966387,2.736022
NE-RSN0756,2.702711,1.6599001
NE-49905162,0.34022576,1.2363989
TH-PCNR0059,7.679535,1.3404268
SO-E0004849,3.779324,4.4085436
SO-E0001614,9.932677,3.841647
NW-88022586,0.13269891,5.4676094
NW-88024603,8.09175,5.383263
NW-RSN0408,0.9802534,2.2104905
NE-SSN1333,4.940622,-0.4272072
AN-RSN0689,9.8953495,3.509884
SW-81201510,-0.03810611,2.677975
SW-91211370,1.7034286,4.412467
AN-BARE4,8.6525955,-1.0392491
NW-SSN1434,7.2824445,4.9327307
AN-RSN1506,8.52512,-0.95389986
SO-G0003989,6.3567395,2.4960988
SW-82221901,2.8022661,5.051663
SW-RSN0141,7.182579,3.413713
SW-RSN1523,-0.56574124,5.172886
NE-49905126,1.6730305,0.47462532
AN-GLEN280B,8.203962,-0.26349327
SW-81231185,-0.051454164,2.9495337
MD-53784688,4.53196,0.07584923
NE-49100479,5.1019382,2.1230607
NE-49100024,2.1642427,0.19875486
MD-37557225,7.7186956,-1.4391965
NE-49200305,8.440523,-1.3200057
TH-PEVR0080,7.7323947,-1.2554444
MD-06111920,7.231752,1.4546514
NW-88002704,10.370601,3.2212393
TH-RSN1521,9.457655,1.6396087
MD-13615980,4.6504645,1.4994366
NE-41000039,0.92663956,0.5772079
SW-60590144,4.328937,1.5695426
SW-82112810,2.853111,4.8423347
MD-20353500,2.8996682,2.857049
SW-B3160105,6.816514,1.0012858
TH-RSN0474,6.686838,2.5865843
MD-28775020,10.594159,1.528095
MD-74357450,8.771895,1.4932004
SW-Z9390102,8.034792,1.8498914
NW-88005131,-0.054626465,3.1026049
MD-RSN0678,8.254121,-0.9122638
SW-B3140101,5.633955,0.59778595
SW-RSN2349,7.0338535,3.7956345
NW-88000848,8.55648,3.677131
SW-RSN0071,5.1349945,4.453665
SW-70826005,2.325203,2.9021692
NW-88002514,8.04567,4.252782
NE-49800097,0.89894205,3.1006448
MD-RSN2042,7.7408614,-1.6306857
SW-E2160020,6.0149145,0.9336091
SW-RSN1829,8.9725685,0.7649881
NE-49302216,6.266084,2.0521786
NE-49500662,2.471022,2.867269
TH-RSN2077,8.092526,0.4781285
SW-81915129,2.309967,4.840787
MD-02852980,6.8468084,0.77824986
SO-SSN0487,8.711218,3.8152068
SO-G0003764,4.2963786,3.289843
NE-RSN0944,8.80054,4.612428
TH-PWER0038,9.043602,2.5975862
MD-58248060,8.48477,2.0837798
TH-PTHR0016,9.39688,3.0010498
NW-88010493,1.8813927,0.37956598
SW-70232250,4.9250746,1.7473236
NW-88023954,8.084151,4.719517
NW-88004373,0.43928558,1.4756535
MD-37917820,11.36429,3.7646375
NW-88002604,7.8510914,4.2948384
AN-SOME2,7.5118303,5.098351
NW-88023707,0.49854076,2.1659253
NE-49301635,9.656882,2.7839923
TH-PLER0067,8.768084,-0.29319084
TH-SSN0015,7.805495,0.48179084
NE-49301263,3.2322378,1.6061382
AN-RISE010A,5.610623,-0.7136819
SW-81610317,2.3816843,5.126701
SW-50280911,1.7652177,4.15052
AN-20M13,6.5069804,0.56596726
AN-30M07,10.711967,1.4844472
AN-23M08,6.908588,2.3427992
TH-PLDR0002,8.636875,5.094431
SO-E0000135,7.2402806,3.8616831
AN-RA05,8.322728,5.3533845
SW-63100150,9.676284,2.418447
NW-88003111,4.4604697,1.4672836
NW-88003570,4.236497,0.6606386
AN-OAE047,8.514999,3.8637805
MD-37536190,7.5357823,3.4379768
NE-RSN0520,3.0746906,1.2640246
NW-88000798,5.192749,2.3660402
TH-PLER0057,10.990322,2.3768682
TH-RSN1229,0.89599866,2.256651
NW-88003490,1.5987381,0.024574356
NW-RSN0692,-0.5803296,5.135423
NW-88000792,10.881211,2.877749
AN-BUR137,6.8533096,2.8422472
SW-82110403,2.4496577,5.448952
AN-WILN070D,6.861511,2.6775262
MD-61041900,7.0855236,4.6244683
AN-24M13,8.9847145,1.5435524
MD-39926655,8.806156,4.6019154
MD-08019230,10.411062,2.6248002
SW-RSN1157,7.889997,3.065667
TH-SSN1359,8.675827,0.114929415
SO-E0004771,8.809941,1.6151817
NW-88003124,4.7194915,3.3740127
SW-81930914,1.4456443,5.4156594
NE-49301422,10.739958,3.5042107
MD-04496180,9.045521,1.876739
SW-50280271,7.4424744,1.5204829
MD-60122050,8.231913,0.04828903
AN-SB0106,6.904481,3.6547723
NE-49600498,0.65361243,1.2201157
SO-RSN0921,5.7949405,0.67487603
SW-81710110,1.5634418,5.479976
SW-RSN1675,0.7098447,3.0795977
NW-88005151,0.5347954,0.46354622
NW-88020176,3.1186368,1.2261887
AN-42M05,8.6044,3.8355224
AN-53M14,7.020711,2.4353914
AN-RSN0901,7.525841,3.5146704
SW-70240223,3.3917732,1.3471603
NW-RSN0719,1.6512415,0.1353876
SW-81241155,0.031255465,5.270199
SW-RSN0701,7.864431,-0.06268597
SW-82310160,2.2621655,4.7118382
AN-44M01,7.944985,2.6161325
AN-MD02,9.862864,3.9722898
TH-RSN0466,7.122355,-1.3635184
MD-RSN2326,6.149283,1.1914513
