n_min,n_sites_min,final_feature_count,final_site_count,feature_set_identity_status,site_set_identity_status
20,100,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
20,150,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
20,200,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
20,250,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
20,300,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
30,100,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
30,150,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
30,200,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
30,250,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
30,300,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
40,100,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
40,150,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
40,200,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
40,250,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
40,300,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
50,100,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
50,150,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
50,200,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
50,250,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
50,300,12,8857,identical_12 (code x unit; SHA-256 invariant),identical_8857 (SHA-256 invariant)
