,111|Ammoniacal N,116|Total Oxidised N,117|Nitrate as N,118|Nitrite as N,119|Un-ionised Ammonia,162|Alkalinity,180|Orthophosphate,61|pH,76|Water Temperature,77|Conductivity,9901|DO % Saturation,9924|DO conc. (mg/L)
111|Ammoniacal N,1.0,0.24313517348132233,0.22922732072399868,0.7634634232618114,0.8631306075626316,0.23966168348835953,0.5676337580964439,-0.1208685836910785,0.17699602204205792,0.46476060094747895,-0.5633703370666532,-0.48675658696373686
116|Total Oxidised N,0.24313517348132233,0.9999999999999998,0.9868505961162468,0.6577137516160111,0.36607971786809673,0.5231711769217086,0.5653585429630938,0.24722752249541494,0.21464605482448468,0.6408042898039487,-0.3374031375686347,-0.3102609951922651
117|Nitrate as N,0.22922732072399865,0.9868505961162467,1.0,0.6416322647274499,0.3634133103912453,0.5145062868529546,0.5535212444295274,0.24207031847983107,0.2115049377680624,0.6274897550089478,-0.32657849188062754,-0.3084490743429644
118|Nitrite as N,0.7634634232618114,0.6577137516160111,0.64163226472745,0.9999999999999998,0.8214891331471595,0.5100073515881629,0.7566662212536798,0.12737935346509865,0.23315823904091515,0.708822748392327,-0.5916930240657318,-0.5108777052742183
119|Un-ionised Ammonia,0.8631306075626316,0.36607971786809673,0.36341331039124525,0.8214891331471594,1.0,0.4355621621420679,0.6458124968736976,0.2236070047839799,0.19107815235846262,0.59827872995341,-0.46467109204945006,-0.4043661534654655
162|Alkalinity,0.23966168348835953,0.5231711769217086,0.5145062868529546,0.5100073515881629,0.4355621621420679,1.0,0.42514532109989756,0.4753819174558404,0.08281798031231336,0.8074382570665053,-0.4173553260147831,-0.33180518480297827
180|Orthophosphate,0.5676337580964439,0.5653585429630938,0.5535212444295274,0.7566662212536799,0.6458124968736976,0.42514532109989756,1.0,0.16959206841979585,0.2458739699185842,0.5769787348717084,-0.5055974839254342,-0.4647147532487428
61|pH,-0.12086858369107852,0.24722752249541494,0.24207031847983104,0.12737935346509865,0.2236070047839799,0.4753819174558404,0.16959206841979582,1.0,-0.13415190895351162,0.30776168075561483,0.25168213559872193,0.3065068439964658
76|Water Temperature,0.17699602204205794,0.21464605482448468,0.21150493776806237,0.23315823904091518,0.19107815235846262,0.08281798031231336,0.24587396991858423,-0.13415190895351162,1.0,0.19430062493156913,-0.23801207426763532,-0.4791199032495106
77|Conductivity,0.46476060094747895,0.6408042898039487,0.6274897550089478,0.708822748392327,0.59827872995341,0.8074382570665053,0.5769787348717084,0.30776168075561483,0.19430062493156913,1.0,-0.5679317533112175,-0.4823119057208201
9901|DO % Saturation,-0.5633703370666532,-0.3374031375686347,-0.32657849188062754,-0.5916930240657318,-0.46467109204945006,-0.4173553260147831,-0.5055974839254344,0.25168213559872193,-0.2380120742676353,-0.5679317533112175,0.9999999999999998,0.8768201838292902
9924|DO conc. (mg/L),-0.4867565869637368,-0.3102609951922651,-0.3084490743429644,-0.5108777052742184,-0.4043661534654655,-0.33180518480297827,-0.46471475324874284,0.3065068439964658,-0.47911990324951054,-0.4823119057208201,0.8768201838292902,1.0
