determinant_code,authoritative_name,unit,manuscript_label,trustworthiness_k10,trustworthiness_k50,knn_recall_k10,procrustes_disparity,mean_overlap_k10
162,Alkalinity to pH 4.5 as CaCO3,MILLIGRAM PER LITRE,Alkalinity (mg/L),0.942957065479136,0.9367640654999444,0.223269730156938,0.0811671368481978,0.262763915547025
61,pH,PH UNITS,pH (pH units),0.9421880903583374,0.9356443565209792,0.2201761318730947,0.0772364178435699,0.2281359376764141
76,Temperature of Water,CELSIUS,Water Temperature (deg C),0.9573428783377854,0.9501670343478908,0.2449474991532121,0.0535620576473478,0.185954612171164
116,"Nitrogen, Total Oxidised as N",MILLIGRAM PER LITRE,Total Oxidised N (mg/L),0.9377839698725944,0.9317874830918056,0.2131873094727334,0.0312984093099274,0.3560009032403748
117,Nitrate as N,MILLIGRAM PER LITRE,Nitrate as N (mg/L),0.9373955415218924,0.9323527110978036,0.213864739753867,0.0311792120943069,0.3517218019645478
9924,"Oxygen, Dissolved as O2",MILLIGRAM PER LITRE,DO concentration (mg/L),0.9411543007695568,0.9337342821282986,0.2280681946483008,0.0308078962462488,0.2683640058710624
9901,"Oxygen, Dissolved, % Saturation",PERCENTAGE,DO % Saturation (%),0.93983510653041,0.9327964169390844,0.2226374618945467,0.026103535912397,0.3078017387377215
118,Nitrite as N,MILLIGRAM PER LITRE,Nitrite as N (mg/L),0.9450776652702294,0.9384679919785024,0.2237778028677882,0.0218561068036328,0.3798464491362764
180,"Orthophosphate, reactive as P",MILLIGRAM PER LITRE,Orthophosphate (mg/L),0.9419862429768836,0.9361767995705148,0.214248616913176,0.0216547068194896,0.4215535734447329
77,Conductivity at 25 C,MICROSIEMENS PER CENTIMETRE,Conductivity (uS/cm),0.9419040329321348,0.9358384436586684,0.214632494072485,0.0054441004994566,0.5350795980580332
111,Ammoniacal Nitrogen as N,MILLIGRAM PER LITRE,Ammoniacal N (mg/L),0.9390177283909378,0.9326877447225568,0.2147228181099695,0.0037986682263742,0.5764028452071808
119,Ammonia un-ionised as N,MILLIGRAM PER LITRE,Un-ionised Ammonia (mg/L),0.9386075209804144,0.9330666240512204,0.2134582815851868,0.0031854232827922,0.5780738399006435
