n_neighbors,min_dist,n_seeds,trust_k10_mean,trust_k10_std,trust_k50_mean,trust_k50_std,knn_recall_k10_mean,knn_recall_k10_std,procrustes_mean,procrustes_std
15,0.01,10,0.9624829990047589,0.0007819952769231215,0.9466065013159837,0.000823224499990004,0.3086711075985097,0.0012998962235641225,0.007251414906571599,0.0019754441975804284
15,0.1,10,0.9494272948164669,0.0006241623606722235,0.937797028945767,0.0005269819849408291,0.26581009371118886,0.001467599619667984,0.006069345768389961,0.0018386784573358747
15,0.25,10,0.9355692051143105,0.0005876448860027868,0.9285044626550663,0.0005152431195118776,0.21468330134357005,0.0008258678112387884,0.0036338841528173733,0.0009999409930078695
15,0.5,10,0.9228135142111814,0.0005422274781335037,0.9202229158725101,0.00024573646815143334,0.16697978999661284,0.0007963910787304469,0.0019280925575596735,0.00038181660390787915
30,0.01,10,0.9550387945329337,0.0005067094173304219,0.9430181983354096,0.0006987941966796919,0.26732189228858527,0.0015808771870356206,0.008751220743283475,0.004602667119022497
30,0.1,10,0.9434991331889497,0.0004000829246737589,0.9347957059516465,0.0005568617028187574,0.23181777125437505,0.0011273612744876144,0.005606604101817096,0.0016697953497581677
30,0.25,10,0.9328976270344752,0.00045874994266224654,0.9277387771287353,0.00025858371741015694,0.19216100259681607,0.0007601723514796376,0.0028080261819395775,0.0010724723162059096
30,0.5,10,0.9213924334310521,0.00020259020311548366,0.9203604180067162,0.00034260659907238883,0.1538816755108953,0.001034381818582028,0.002642508392578664,0.0010764862023174208
50,0.01,10,0.9492984257379169,0.0004966584524610751,0.9391923728619777,0.0003881228902469804,0.24095291859546117,0.0012558348504522357,0.004682914336400241,0.0011648918082890374
50,0.1,10,0.9398484534993544,0.0004213394825469629,0.9327480209361431,0.00040099475399367517,0.2109529185954612,0.0011602143466233172,0.005449151303483289,0.001801706560818287
50,0.25,10,0.9307117576166741,0.00048781520437395694,0.9264572229597476,0.0004037634361494518,0.17778931918256746,0.0008291806222802723,0.004535113478338706,0.002348372786109144
50,0.5,10,0.9209427628238485,0.00039123495975101804,0.9197438848622836,0.0003581633511020257,0.14654849271762446,0.0007326136966972803,0.0017658290154360314,0.000408777614451873
100,0.01,10,0.9476097792154354,0.0006396587352203054,0.9391735894941824,0.0005861418377703561,0.22208422716495427,0.0017225986965256615,0.008626652891035562,0.0023617146435985143
100,0.1,10,0.9369547338619002,0.0005994439498270644,0.9309275925463796,0.00043730988149808946,0.19347070114034098,0.0014826672525933323,0.005721177917210449,0.0016807934750427862
100,0.25,10,0.9275030003991042,0.00036745818714297335,0.923968974518553,0.00033910803502372504,0.1622851981483572,0.0007024190281342784,0.004135884465397249,0.0011511576016723548
100,0.5,10,0.9170344107421246,0.00020518806154917,0.9158083479804642,0.0002064256710872976,0.13595461217116403,0.0006070622514387912,0.0020521377811598936,0.0005365002801731443
150,0.01,10,0.9445771910313614,0.0005570928743962319,0.9366677681856952,0.0006032343446090564,0.2131026306875917,0.001229026739560783,0.007832243858665728,0.0015780608459566036
150,0.1,10,0.9349096065900486,0.00031192340139276465,0.92864212092648,0.0003543217958359164,0.18462233261826802,0.000955603368537085,0.006324544293280591,0.001906323411716088
150,0.25,10,0.925292462349123,0.0003134157945673508,0.9215646181207452,0.00023970499429588156,0.15589477249633057,0.0008434812226733546,0.005061195125647444,0.002517081021809567
150,0.5,10,0.9146868588454055,0.00036423043306341315,0.9131610751304177,0.0002745301366886189,0.13105453313763127,0.0010356162040600473,0.0024347502040611424,0.0007764091631776339
